,Alzheimer Disease,Breast Cancer,Cardiovascular Disease,Chronic Obstructive Pulmonary Disease,Gastric Cancer,Glioblastoma,Heart Stroke,Hepatocellular Carcinoma,Liver Cirrhosis,Lung Adenocarcinoma,Lung Cancer,Male Infertility,Parkinson Disease,Renal Cell Carcinoma,Rheumatoid Arthritis
DQ569913,0.31626330116537693,0.06992616506291771,0.8219826790611077,0.05313231663051943,0.10010939260336808,0.05868213867956301,0.06720298889796822,0.1000010493941819,0.06261533546252637,0.03852183904596403,0.04652909007041365,0.04537891444846998,1.0,0.7374403250326078,0.05290148538149823
DQ569915,0.33909410073122537,0.07378666498462819,1.0,0.05489695291336709,0.10888010277543447,0.061354795348554356,0.0689965933756456,0.11176073575133702,0.06786016087450365,0.039438649760376886,0.046542147974577314,0.047393820987635324,0.8915781686411457,0.774223162712667,0.05570572387991657
DQ569918,0.30823271706006217,0.06667423961227424,0.8262238734806402,0.0507341708576835,0.09501675944736623,0.056849363247395215,0.061192672929691286,0.0961727627804,0.060540784409818506,0.03699633703485,0.04472689549578115,0.04379504897618455,1.0,0.7936000414543555,0.05107808682824723
DQ569923,0.31259710027656895,0.06740400316187398,1.0,0.05099617598256027,0.09672020417396525,0.05713214788865202,0.06384253295496196,0.09689051746961067,0.06043124351893068,0.036908323495981374,0.04477968122178637,0.04389348924270607,0.900056936458015,0.807538264909615,0.051280627025214666
DQ569925,0.3114361411293728,0.0692846451846589,0.8314290224150263,0.05185267991080913,0.09959745888006018,0.06065958337740128,0.06556199788821936,0.10006363814304768,0.0622843411181209,0.03818035022432785,0.04547586544922365,0.04487872774632881,1.0,0.7880140619212657,0.05313731586279317
DQ569927,0.30782786342572577,0.06619567545318941,0.8203012324111943,0.05037768660394402,0.09325459465097634,0.055120594586440065,0.06177960118170141,0.09433578323643928,0.05923861097546855,0.03658806101036795,0.044282377869108304,0.04323090251203397,1.0,0.7658065483840999,0.05040640808721343
DQ569928,0.33587057612030885,0.07805813689378834,0.8329701790149014,0.05486525868623556,0.11757781728100376,0.061387682183054945,0.06852973698639396,0.11837735646942282,0.06842240805155439,0.039699131255729256,0.04792106147119353,0.04720330650504871,0.9034931609098595,0.7424504034221303,0.055817798113408604
DQ569935,0.3078613334522834,0.06667362032446617,0.8234828831796731,0.04990784046819637,0.0962708537860106,0.058219607643931304,0.061750729397886964,0.09460775348363933,0.06034534597772404,0.03634668566631834,0.04414567545914257,0.04380959243174805,0.8849269538000323,0.7961832539755229,0.051082607532179324
DQ569936,0.30773950274317,0.06679004533803579,0.8139427580764631,0.05111669010771054,0.09709945152150563,0.06105461690458732,0.06291060449229208,0.09827494442492857,0.06144352823113096,0.037606453030187705,0.04499577154904115,0.044145438034718265,0.8924469044464477,1.0,0.05176074593920006
DQ569937,0.30695516542226053,0.06460564253471603,0.8250562899068248,0.04928676514053082,0.09054253772397315,0.05404724419361956,0.06247110809309392,0.09131542759997216,0.057605089713432325,0.03622058651217169,0.04306003032370498,0.04240177744773228,0.8840769580646051,1.0,0.049566847650381066
DQ569948,0.3130033890909056,0.06831368794941609,0.8319217763785879,0.05180229224670853,0.09780916649196843,0.05665769299206284,0.06423623077308403,0.09897199612408429,0.0618791257043106,0.03780697845357551,0.044651276826646755,0.04447974298376106,1.0,0.7538019605806288,0.05232971705299703
