,Alzheimer Disease,Breast Cancer,Cardiovascular Disease,Chronic Obstructive Pulmonary Disease,Gastric Cancer,Glioblastoma,Heart Stroke,Hepatocellular Carcinoma,Liver Cirrhosis,Lung Adenocarcinoma,Lung Cancer,Male Infertility,Parkinson Disease,Renal Cell Carcinoma,Rheumatoid Arthritis
DQ569913,0.32363592605063496,0.06867702055072826,0.8162303487872802,0.0499576342653987,0.10346406718866732,0.06471303856338817,0.06658165105485905,0.09763092107655424,0.062213504066233695,0.039196977689691756,0.04655242687580424,0.0458384377464922,1.0,0.7132208077484785,0.05373749243540295
DQ569915,0.3268610445792162,0.07437681121600623,1.0,0.05221398429164033,0.11974665419313661,0.07164311957740639,0.06707617178089528,0.11296834474188695,0.06883505486148044,0.03961938207601481,0.04826537578134379,0.0476921011486235,0.9007329228969292,0.7746310723718722,0.057129426256775674
DQ569918,0.30965578226578583,0.06760887771445961,0.8208908830195012,0.04846812387987261,0.10243610183537841,0.06416562784538213,0.061969328209595206,0.09570110610108803,0.06198130521359267,0.038991363678755796,0.04582748794966682,0.0448553761138854,1.0,0.7603797851381546,0.05250540873276557
DQ569923,0.31360861239335264,0.07127781016121312,1.0,0.051125045239969046,0.1096470917529468,0.06629514911317831,0.06563963226099889,0.101888482972409,0.06499481958502831,0.040041184104832664,0.047168742284926235,0.046733460644832595,0.8988208565054581,0.8069269520604474,0.05516770839597531
DQ569925,0.30892956345742284,0.06704630113067375,0.8178410074389065,0.04870971403920263,0.10237984744802922,0.06377948312189348,0.06448593430385374,0.09519053211288434,0.062105730004738936,0.037490431281004016,0.04444125292484239,0.044681184547683786,1.0,0.7580363930225492,0.052475887598541424
DQ569927,0.30982990841254254,0.06697196130397103,0.8149606556039799,0.04864741160771234,0.10016947870735693,0.06431441675918825,0.06374691425462971,0.09504447847413992,0.060332067467978145,0.0382082896880208,0.04582894043141087,0.04502062908964004,1.0,0.7594758179889363,0.0527335168452608
DQ569928,0.34221866893926,0.0779815176251951,0.83160797094469,0.055088616784995104,0.11974465357730105,0.07185135898314246,0.07260058017794782,0.11209419833360448,0.07082145789592129,0.04248893121476834,0.05002493371794481,0.0504653364313702,0.9045620732940793,1.0,0.06010397169559891
DQ569935,0.31713360861955475,0.06913187415993277,1.0,0.04942130335555739,0.10298036114091036,0.06559849963614757,0.06498923766576661,0.09763705497939212,0.06221965404214399,0.03930124285465653,0.04591493643380564,0.045682837880129,0.8970473976262756,0.794977095238097,0.05362496901964172
DQ569936,0.3173020590828592,0.06971046845569137,0.8240749905206501,0.049684121470230894,0.1064033124879322,0.06751075435377452,0.06407641802119589,0.10173114107172616,0.06395070189472103,0.0402295528011752,0.046613459982704865,0.04590795578284933,0.8985727676941015,1.0,0.053927715677566115
DQ569937,0.31191993014194613,0.06925458990869846,0.8260845253129674,0.04966866394708966,0.10295489622623288,0.0656668947022638,0.06396903554290193,0.09744871221056536,0.06196950040084338,0.0396330833330564,0.04552060042837719,0.04554625984228811,0.8947880259255193,1.0,0.05348696963359425
DQ569948,0.32265908724198905,0.07242561010546562,0.8275401996433394,0.05150782386741333,0.11114804635975935,0.0671226474474533,0.06552489971512135,0.10291715977935927,0.06504726885978851,0.040160764380342606,0.04680148403592302,0.04701798905099058,1.0,0.753663371648795,0.055590039196593
DQ569951,0.30842001842586797,0.07068268787730483,0.8234294912509892,0.050718612662041127,0.10638647245731088,0.06897328022539517,0.06393511937476326,0.098711790633514,0.06399542872587699,0.03850916865076242,0.04682683168994184,0.04645408287938245,0.8881685948557824,1.0,0.05526766849267316
